ID,Pathway
PIK3CA,FLT3 signaling in disease
PIK3CA,Signaling by ALK in cancer
PIK3CA,Signaling by FLT3 ITD and TKD mutants
PIK3CA,Signaling by ALK fusions and activated point mutants
PIK3CB,PI3K Cascade
PIK3CB,IRS-mediated signalling
PIK3CB,Downstream signal transduction
PIK3CB,Signaling by PDGF
PIK3CB,Signaling by NTRK1 (TRKA)
PIK3CB,Signaling by VEGF
PIK3CB,Negative regulation of the PI3K/AKT network
PIK3CB,Signaling by ALK
PIK3CB,PI3K/AKT Signaling in Cancer
PIK3CB,Constitutive Signaling by Aberrant PI3K in Cancer
PIK3CB,Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)
PIK3CB,IGF1R signaling cascade
PIK3CB,IRS-related events triggered by IGF1R
PIK3CB,VEGFA-VEGFR2 Pathway
PIK3CB,"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling"
PIK3CB,Insulin receptor signalling cascade
PIK3CB,Signaling by Insulin receptor
PIK3CB,Signaling by Erythropoietin
PIK3CB,Erythropoietin activates Phosphoinositide-3-kinase (PI3K)
PIK3CB,Signaling by ALK in cancer
PIK3CB,Signaling by ALK fusions and activated point mutants
PIM1,FLT3 signaling in disease
PIM1,Signaling by FLT3 ITD and TKD mutants
PIK3CD,Negative regulation of the PI3K/AKT network
PIK3CD,PI3K/AKT Signaling in Cancer
PIK3CD,Constitutive Signaling by Aberrant PI3K in Cancer
PIK3CD,"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling"
PIK3CD,Signaling by Erythropoietin
PIK3CD,Erythropoietin activates Phosphoinositide-3-kinase (PI3K)
PIK3CG,G beta:gamma signalling through PI3Kgamma
PIK3CG,G-protein beta:gamma signalling
PIK3CG,Signaling by Erythropoietin
PIK3CG,Erythropoietin activates Phosphoinositide-3-kinase (PI3K)
PIK3R1,PI3K Cascade
PIK3R1,IRS-mediated signalling
PIK3R1,Signaling by FGFR in disease
PIK3R1,Signaling by ERBB2
PIK3R1,Signaling by ERBB2 in Cancer
PIK3R1,Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants
PIK3R1,Signaling by ERBB4
PIK3R1,Signaling by SCF-KIT
PIK3R1,Signaling by EGFR in Cancer
PIK3R1,Signaling by EGFR
PIK3R1,FGFR1 mutant receptor activation
PIK3R1,Downstream signal transduction
PIK3R1,Signaling by PDGF
PIK3R1,Signaling by NTRK1 (TRKA)
PIK3R1,Signaling by FGFR
PIK3R1,Signaling by VEGF
PIK3R1,Negative regulation of the PI3K/AKT network
PIK3R1,Signaling by ALK
PIK3R1,PI3K/AKT Signaling in Cancer
PIK3R1,Constitutive Signaling by Aberrant PI3K in Cancer
PIK3R1,Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)
PIK3R1,IGF1R signaling cascade
PIK3R1,IRS-related events triggered by IGF1R
PIK3R1,VEGFA-VEGFR2 Pathway
PIK3R1,Constitutive Signaling by EGFRvIII
PIK3R1,Signaling by EGFRvIII in Cancer
PIK3R1,Signaling by Ligand-Responsive EGFR Variants in Cancer
PIK3R1,Downstream signaling of activated FGFR1
PIK3R1,PI-3K cascade:FGFR1
PIK3R1,PI-3K cascade:FGFR2
PIK3R1,Downstream signaling of activated FGFR2
PIK3R1,Downstream signaling of activated FGFR3
PIK3R1,Downstream signaling of activated FGFR4
PIK3R1,PI-3K cascade:FGFR4
PIK3R1,Signaling by FGFR1
PIK3R1,Signaling by FGFR2
PIK3R1,Signaling by FGFR3
PIK3R1,Signaling by FGFR4
PIK3R1,Signaling by FGFR2 in disease
PIK3R1,Signaling by FGFR1 in disease
PIK3R1,Signaling by FGFR3 in disease
PIK3R1,Signaling by MET
PIK3R1,"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling"
PIK3R1,Insulin receptor signalling cascade
PIK3R1,Signaling by Insulin receptor
PIK3R1,RHOA GTPase cycle
PIK3R1,Signaling by NTRK2 (TRKB)
PIK3R1,Signaling by Erythropoietin
PIK3R1,Extra-nuclear estrogen signaling
PIK3R1,RHOB GTPase cycle
PIK3R1,RHOC GTPase cycle
PIK3R1,RAC2 GTPase cycle
PIK3R1,RHOD GTPase cycle
PIK3R1,RHOG GTPase cycle
PIK3R1,RHOJ GTPase cycle
PIK3R1,RHOU GTPase cycle
PIK3R1,RAC3 GTPase cycle
PIK3R1,RHOV GTPase cycle
PIK3R1,Erythropoietin activates Phosphoinositide-3-kinase (PI3K)
PIK3R1,Signaling by NTRK3 (TRKC)
PIK3R1,RHOF GTPase cycle
PIK3R1,Signaling by ERBB2 KD Mutants
PIK3R1,Signaling by ERBB2 ECD mutants
PIK3R1,Signaling by KIT in disease
PIK3R1,"Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants"
PIK3R1,FLT3 signaling in disease
PIK3R1,RND3 GTPase cycle
PIK3R1,RND2 GTPase cycle
PIK3R1,RND1 GTPase cycle
PIK3R1,Signaling by ALK in cancer
PIK3R1,Signaling by FLT3 ITD and TKD mutants
PIK3R1,Signaling by ALK fusions and activated point mutants
PIK3R2,PI3K Cascade
PIK3R2,IRS-mediated signalling
PIK3R2,Signaling by SCF-KIT
PIK3R2,Downstream signal transduction
PIK3R2,Signaling by PDGF
PIK3R2,Signaling by NTRK1 (TRKA)
PIK3R2,Signaling by VEGF
PIK3R2,Negative regulation of the PI3K/AKT network
PIK3R2,Signaling by ALK
PIK3R2,PI3K/AKT Signaling in Cancer
PIK3R2,Constitutive Signaling by Aberrant PI3K in Cancer
PIK3R2,Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)
PIK3R2,IGF1R signaling cascade
PIK3R2,IRS-related events triggered by IGF1R
PIK3R2,VEGFA-VEGFR2 Pathway
PIK3R2,"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling"
PIK3R2,Insulin receptor signalling cascade
PIK3R2,Signaling by Insulin receptor
PIK3R2,RHOA GTPase cycle
PIK3R2,Extra-nuclear estrogen signaling
PIK3R2,RHOB GTPase cycle
PIK3R2,RAC2 GTPase cycle
PIK3R2,RHOD GTPase cycle
PIK3R2,RHOJ GTPase cycle
PIK3R2,RHOU GTPase cycle
PIK3R2,RAC3 GTPase cycle
PIK3R2,RHOF GTPase cycle
PIK3R2,Signaling by KIT in disease
PIK3R2,"Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants"
PIK3R2,RND3 GTPase cycle
PIK3R2,RND2 GTPase cycle
PIK3R2,RND1 GTPase cycle
PIK3R2,Signaling by ALK in cancer
PIK3R2,Signaling by ALK fusions and activated point mutants
PIN1,RHO GTPases Activate NADPH Oxidases
PIP4K2A,Negative regulation of the PI3K/AKT network
PIP4K2A,"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling"
PLA2G4A,Opioid Signalling
PLA2G4A,Ca-dependent events
PLA2G4A,G-protein mediated events
PLA2G4A,PLC beta mediated events
ATP6V0B,Signaling by Insulin receptor
ATP6V0B,Insulin receptor recycling
PLCB2,Opioid Signalling
PLCB2,G-protein mediated events
PLCB2,PLC beta mediated events
PLCB2,G-protein beta:gamma signalling
PLCB2,Ca2+ pathway
PLCB2,G beta:gamma signalling through PLC beta
PLCB3,Opioid Signalling
PLCB3,G-protein mediated events
PLCB3,PLC beta mediated events
PLCB3,G-protein beta:gamma signalling
PLCB3,Ca2+ pathway
PLCB3,G beta:gamma signalling through PLC beta
PLCB4,Opioid Signalling
PLCB4,G-protein mediated events
PLCB4,PLC beta mediated events
PLCG1,Signaling by FGFR in disease
PLCG1,Signaling by ERBB2
PLCG1,Signaling by ERBB2 in Cancer
PLCG1,Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants
PLCG1,Signaling by EGFR in Cancer
PLCG1,Signaling by EGFR
PLCG1,Downstream signal transduction
PLCG1,Signaling by PDGF
PLCG1,Signaling by NTRK1 (TRKA)
PLCG1,Signaling by FGFR
PLCG1,Signaling by VEGF
PLCG1,Signaling by ALK
PLCG1,VEGFA-VEGFR2 Pathway
PLCG1,VEGFR2 mediated cell proliferation
PLCG1,Constitutive Signaling by EGFRvIII
PLCG1,Signaling by EGFRvIII in Cancer
PLCG1,Signaling by Ligand-Responsive EGFR Variants in Cancer
PLCG1,Phospholipase C-mediated cascade; FGFR2
PLCG1,Phospholipase C-mediated cascade; FGFR4
PLCG1,Downstream signaling of activated FGFR1
PLCG1,Downstream signaling of activated FGFR2
PLCG1,Downstream signaling of activated FGFR3
PLCG1,Downstream signaling of activated FGFR4
PLCG1,Signaling by FGFR1
PLCG1,Signaling by FGFR2
PLCG1,Signaling by FGFR3
PLCG1,Signaling by FGFR4
PLCG1,Signaling by FGFR2 in disease
PLCG1,Signaling by FGFR1 in disease
PLCG1,Signaling by FGFR3 in disease
PLCG1,Signaling by NTRK2 (TRKB)
PLCG1,Signaling by Erythropoietin
PLCG1,Signaling by NTRK3 (TRKC)
PLCG1,Anti-inflammatory response favouring Leishmania parasite infection
PLCG1,FCGR3A-mediated IL10 synthesis
PLCG1,Leishmania parasite growth and survival
PLCG1,Signaling by ERBB2 KD Mutants
PLCG1,Signaling by ERBB2 ECD mutants
PLCG1,Signaling by ERBB2 TMD/JMD mutants
PLCG1,Signaling by ALK in cancer
PLCG1,Signaling by ALK fusions and activated point mutants
SHC3,Signalling to RAS
SHC3,Signaling by NTRK1 (TRKA)
SHC3,Signalling to ERKs
PLCG2,Signaling by Erythropoietin
PLCG2,Anti-inflammatory response favouring Leishmania parasite infection
PLCG2,FCGR3A-mediated IL10 synthesis
PLCG2,Leishmania parasite growth and survival
PLCG2,Potential therapeutics for SARS
PLD1,RHOA GTPase cycle
PLD1,RHOG GTPase cycle
NUP54,Host Interactions of HIV factors
NUP54,Rev-mediated nuclear export of HIV RNA
NUP54,Transport of Ribonucleoproteins into the Host Nucleus
NUP54,Export of Viral Ribonucleoproteins from Nucleus
NUP54,NS1 Mediated Effects on Host Pathways
NUP54,Viral Messenger RNA Synthesis
NUP54,NEP/NS2 Interacts with the Cellular Export Machinery
NUP54,Interactions of Vpr with host cellular proteins
NUP54,Interactions of Rev with host cellular proteins
NUP54,Nuclear import of Rev protein
NUP54,Vpr-mediated nuclear import of PICs
NUP54,SLC transporter disorders
NUP54,Defective TPR may confer susceptibility towards thyroid papillary carcinoma (TPC)
NUP54,Disorders of transmembrane transporters
NUP54,HCMV Infection
NUP54,HCMV Early Events
NUP54,HCMV Late Events
NUP54,SARS-CoV-2 activates/modulates innate and adaptive immune responses
PLD2,RAC2 GTPase cycle
ATP6V1G2,Signaling by Insulin receptor
ATP6V1G2,Insulin receptor recycling
PLIN1,NR1H2 and NR1H3-mediated signaling
FXYD1,Potential therapeutics for SARS
FXYD3,Potential therapeutics for SARS
ATP6V0A1,Signaling by Insulin receptor
ATP6V0A1,Insulin receptor recycling
PLXNA1,RHOD GTPase cycle
PLXNA1,RND1 GTPase cycle
MBD3,Regulation of PTEN gene transcription
MBD3,Potential therapeutics for SARS
PRKAG3,MTOR signalling
PRKAG3,Energy dependent regulation of mTOR by LKB1-AMPK
PLXNB1,G alpha (12/13) signalling events
PLXNB1,RHOD GTPase cycle
ATP6AP1,Signaling by Insulin receptor
ATP6AP1,Insulin receptor recycling
ATP6AP1,RHOA GTPase cycle
PML,HCMV Infection
PML,HCMV Early Events
FXYD7,Potential therapeutics for SARS
FXYD6,Potential therapeutics for SARS
FXYD4,Potential therapeutics for SARS
P2RY13,P2Y receptors
P2RY13,Nucleotide-like (purinergic) receptors
FGFRL1,Signaling by FGFR
FGFRL1,Signaling by FGFR1
PMS2,Diseases of DNA repair
TLR9,PI3K Cascade
TLR9,IRS-mediated signalling
TLR9,Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)
TLR9,IGF1R signaling cascade
TLR9,IRS-related events triggered by IGF1R
TLR9,Insulin receptor signalling cascade
TLR9,Signaling by Insulin receptor
POLA1,Diseases of programmed cell death
POLA1,Defective pyroptosis
POLR2A,Signaling by FGFR in disease
POLR2A,RNA Pol II CTD phosphorylation and interaction with CE during HIV infection
POLR2A,HIV Transcription Initiation
POLR2A,RNA Polymerase II HIV Promoter Escape
POLR2A,Transcription of the HIV genome
POLR2A,FGFR2 mutant receptor activation
POLR2A,Signaling by FGFR
POLR2A,Signaling by FGFR2
POLR2A,Signaling by FGFR2 in disease
POLR2A,FGFR2 alternative splicing
POLR2A,Signaling by FGFR2 IIIa TM
POLR2B,Signaling by FGFR in disease
POLR2B,Formation of HIV elongation complex in the absence of HIV Tat
POLR2B,Formation of the HIV-1 Early Elongation Complex
POLR2B,RNA Pol II CTD phosphorylation and interaction with CE during HIV infection
POLR2B,HIV Transcription Initiation
POLR2B,RNA Polymerase II HIV Promoter Escape
POLR2B,HIV Transcription Elongation
POLR2B,Transcription of the HIV genome
POLR2B,Formation of HIV-1 elongation complex containing HIV-1 Tat
POLR2B,Pausing and recovery of Tat-mediated HIV elongation
POLR2B,Abortive elongation of HIV-1 transcript in the absence of Tat
POLR2B,Tat-mediated HIV elongation arrest and recovery
POLR2B,Tat-mediated elongation of the HIV-1 transcript
POLR2B,HIV elongation arrest and recovery
POLR2B,Pausing and recovery of HIV elongation
POLR2B,Viral Messenger RNA Synthesis
POLR2B,FGFR2 mutant receptor activation
POLR2B,Signaling by FGFR
POLR2B,Signaling by FGFR2
POLR2B,Signaling by FGFR2 in disease
POLR2B,FGFR2 alternative splicing
POLR2B,Signaling by FGFR2 IIIa TM
POLR2B,Estrogen-dependent gene expression
POLR2C,Signaling by FGFR in disease
POLR2C,Formation of HIV elongation complex in the absence of HIV Tat
POLR2C,Formation of the HIV-1 Early Elongation Complex
POLR2C,RNA Pol II CTD phosphorylation and interaction with CE during HIV infection
POLR2C,HIV Transcription Initiation
POLR2C,RNA Polymerase II HIV Promoter Escape
POLR2C,HIV Transcription Elongation
POLR2C,Transcription of the HIV genome
POLR2C,Formation of HIV-1 elongation complex containing HIV-1 Tat
POLR2C,Pausing and recovery of Tat-mediated HIV elongation
POLR2C,Abortive elongation of HIV-1 transcript in the absence of Tat
POLR2C,Tat-mediated HIV elongation arrest and recovery
POLR2C,Tat-mediated elongation of the HIV-1 transcript
POLR2C,HIV elongation arrest and recovery
POLR2C,Pausing and recovery of HIV elongation
POLR2C,Viral Messenger RNA Synthesis
POLR2C,FGFR2 mutant receptor activation
POLR2C,Signaling by FGFR
POLR2C,Signaling by FGFR2
POLR2C,Signaling by FGFR2 in disease
POLR2C,FGFR2 alternative splicing
POLR2C,Signaling by FGFR2 IIIa TM
POLR2C,Estrogen-dependent gene expression
POLR2D,Signaling by FGFR in disease
POLR2D,Formation of HIV elongation complex in the absence of HIV Tat
POLR2D,Formation of the HIV-1 Early Elongation Complex
POLR2D,RNA Pol II CTD phosphorylation and interaction with CE during HIV infection
POLR2D,HIV Transcription Initiation
POLR2D,RNA Polymerase II HIV Promoter Escape
POLR2D,HIV Transcription Elongation
POLR2D,Transcription of the HIV genome
POLR2D,Formation of HIV-1 elongation complex containing HIV-1 Tat
POLR2D,Pausing and recovery of Tat-mediated HIV elongation
POLR2D,Abortive elongation of HIV-1 transcript in the absence of Tat
POLR2D,Tat-mediated HIV elongation arrest and recovery
POLR2D,Tat-mediated elongation of the HIV-1 transcript
POLR2D,HIV elongation arrest and recovery
POLR2D,Pausing and recovery of HIV elongation
POLR2D,Viral Messenger RNA Synthesis
POLR2D,FGFR2 mutant receptor activation
POLR2D,Signaling by FGFR
POLR2D,Signaling by FGFR2
POLR2D,Signaling by FGFR2 in disease
POLR2D,FGFR2 alternative splicing
POLR2D,Signaling by FGFR2 IIIa TM
POLR2D,Estrogen-dependent gene expression
GNG2,Opioid Signalling
GNG2,G-protein activation
GNG2,Class B/2 (Secretin family receptors)
GNG2,G beta:gamma signalling through PI3Kgamma
GNG2,G-protein beta:gamma signalling
GNG2,Ca2+ pathway
GNG2,G alpha (12/13) signalling events
GNG2,G beta:gamma signalling through PLC beta
GNG2,G alpha (s) signalling events
GNG2,G alpha (z) signalling events
GNG2,Glucagon-type ligand receptors
GNG2,G beta:gamma signalling through BTK
GNG2,G beta:gamma signalling through CDC42
GNG2,Extra-nuclear estrogen signaling
GNG2,GPER1 signaling
GNG2,ADORA2B mediated anti-inflammatory cytokines production
GNG2,Anti-inflammatory response favouring Leishmania parasite infection
GNG2,Leishmania parasite growth and survival
POLR2E,Signaling by FGFR in disease
POLR2E,Formation of HIV elongation complex in the absence of HIV Tat
POLR2E,Formation of the HIV-1 Early Elongation Complex
POLR2E,RNA Pol II CTD phosphorylation and interaction with CE during HIV infection
POLR2E,HIV Transcription Initiation
POLR2E,RNA Polymerase II HIV Promoter Escape
POLR2E,HIV Transcription Elongation
POLR2E,Transcription of the HIV genome
POLR2E,Formation of HIV-1 elongation complex containing HIV-1 Tat
POLR2E,Pausing and recovery of Tat-mediated HIV elongation
POLR2E,Abortive elongation of HIV-1 transcript in the absence of Tat
POLR2E,Tat-mediated HIV elongation arrest and recovery
POLR2E,Tat-mediated elongation of the HIV-1 transcript
POLR2E,HIV elongation arrest and recovery
POLR2E,Pausing and recovery of HIV elongation
POLR2E,Viral Messenger RNA Synthesis
POLR2E,FGFR2 mutant receptor activation
POLR2E,Signaling by FGFR
POLR2E,Signaling by FGFR2
POLR2E,Signaling by FGFR2 in disease
POLR2E,FGFR2 alternative splicing
POLR2E,Signaling by FGFR2 IIIa TM
POLR2E,Estrogen-dependent gene expression
DPM3,Diseases of glycosylation
DPM3,Diseases of metabolism
POLR2F,Signaling by FGFR in disease
POLR2F,Formation of HIV elongation complex in the absence of HIV Tat
POLR2F,Formation of the HIV-1 Early Elongation Complex
POLR2F,RNA Pol II CTD phosphorylation and interaction with CE during HIV infection
POLR2F,HIV Transcription Initiation
POLR2F,RNA Polymerase II HIV Promoter Escape
POLR2F,HIV Transcription Elongation
POLR2F,Transcription of the HIV genome
POLR2F,Formation of HIV-1 elongation complex containing HIV-1 Tat
POLR2F,Pausing and recovery of Tat-mediated HIV elongation
POLR2F,Abortive elongation of HIV-1 transcript in the absence of Tat
POLR2F,Tat-mediated HIV elongation arrest and recovery
POLR2F,Tat-mediated elongation of the HIV-1 transcript
POLR2F,HIV elongation arrest and recovery
POLR2F,Pausing and recovery of HIV elongation
POLR2F,Viral Messenger RNA Synthesis
POLR2F,FGFR2 mutant receptor activation
POLR2F,Signaling by FGFR
POLR2F,Signaling by FGFR2
POLR2F,Signaling by FGFR2 in disease
POLR2F,FGFR2 alternative splicing
POLR2F,Signaling by FGFR2 IIIa TM
POLR2F,Estrogen-dependent gene expression
POLR2G,Signaling by FGFR in disease
POLR2G,Formation of HIV elongation complex in the absence of HIV Tat
POLR2G,Formation of the HIV-1 Early Elongation Complex
POLR2G,RNA Pol II CTD phosphorylation and interaction with CE during HIV infection
POLR2G,HIV Transcription Initiation
POLR2G,RNA Polymerase II HIV Promoter Escape
POLR2G,HIV Transcription Elongation
POLR2G,Transcription of the HIV genome
POLR2G,Formation of HIV-1 elongation complex containing HIV-1 Tat
POLR2G,Pausing and recovery of Tat-mediated HIV elongation
POLR2G,Abortive elongation of HIV-1 transcript in the absence of Tat
POLR2G,Tat-mediated HIV elongation arrest and recovery
POLR2G,Tat-mediated elongation of the HIV-1 transcript
POLR2G,HIV elongation arrest and recovery
POLR2G,Pausing and recovery of HIV elongation
POLR2G,Viral Messenger RNA Synthesis
POLR2G,FGFR2 mutant receptor activation
POLR2G,Signaling by FGFR
POLR2G,Signaling by FGFR2
POLR2G,Signaling by FGFR2 in disease
POLR2G,FGFR2 alternative splicing
POLR2G,Signaling by FGFR2 IIIa TM
POLR2G,Estrogen-dependent gene expression
WNT4,WNT ligand biogenesis and trafficking
WNT4,Class B/2 (Secretin family receptors)
POLR2H,Signaling by FGFR in disease
POLR2H,Formation of HIV elongation complex in the absence of HIV Tat
POLR2H,Formation of the HIV-1 Early Elongation Complex
POLR2H,RNA Pol II CTD phosphorylation and interaction with CE during HIV infection
POLR2H,HIV Transcription Initiation
POLR2H,RNA Polymerase II HIV Promoter Escape
POLR2H,HIV Transcription Elongation
POLR2H,Transcription of the HIV genome
POLR2H,Formation of HIV-1 elongation complex containing HIV-1 Tat
POLR2H,Pausing and recovery of Tat-mediated HIV elongation
POLR2H,Abortive elongation of HIV-1 transcript in the absence of Tat
POLR2H,Tat-mediated HIV elongation arrest and recovery
POLR2H,Tat-mediated elongation of the HIV-1 transcript
POLR2H,HIV elongation arrest and recovery
POLR2H,Pausing and recovery of HIV elongation
POLR2H,Viral Messenger RNA Synthesis
POLR2H,FGFR2 mutant receptor activation
POLR2H,Signaling by FGFR
POLR2H,Signaling by FGFR2
POLR2H,Signaling by FGFR2 in disease
POLR2H,FGFR2 alternative splicing
POLR2H,Signaling by FGFR2 IIIa TM
POLR2H,Estrogen-dependent gene expression
POLR2I,Signaling by FGFR in disease
POLR2I,Formation of HIV elongation complex in the absence of HIV Tat
POLR2I,Formation of the HIV-1 Early Elongation Complex
POLR2I,RNA Pol II CTD phosphorylation and interaction with CE during HIV infection
POLR2I,HIV Transcription Initiation
POLR2I,RNA Polymerase II HIV Promoter Escape
POLR2I,HIV Transcription Elongation
POLR2I,Transcription of the HIV genome
POLR2I,Formation of HIV-1 elongation complex containing HIV-1 Tat
POLR2I,Pausing and recovery of Tat-mediated HIV elongation
POLR2I,Abortive elongation of HIV-1 transcript in the absence of Tat
POLR2I,Tat-mediated HIV elongation arrest and recovery
POLR2I,Tat-mediated elongation of the HIV-1 transcript
POLR2I,HIV elongation arrest and recovery
POLR2I,Pausing and recovery of HIV elongation
POLR2I,Viral Messenger RNA Synthesis
POLR2I,FGFR2 mutant receptor activation
POLR2I,Signaling by FGFR
POLR2I,Signaling by FGFR2
POLR2I,Signaling by FGFR2 in disease
POLR2I,FGFR2 alternative splicing
POLR2I,Signaling by FGFR2 IIIa TM
POLR2I,Estrogen-dependent gene expression
POLR2J,Signaling by FGFR in disease
POLR2J,Formation of HIV elongation complex in the absence of HIV Tat
POLR2J,Formation of the HIV-1 Early Elongation Complex
POLR2J,RNA Pol II CTD phosphorylation and interaction with CE during HIV infection
POLR2J,HIV Transcription Initiation
POLR2J,RNA Polymerase II HIV Promoter Escape
POLR2J,HIV Transcription Elongation
POLR2J,Transcription of the HIV genome
POLR2J,Formation of HIV-1 elongation complex containing HIV-1 Tat
POLR2J,Pausing and recovery of Tat-mediated HIV elongation
POLR2J,Abortive elongation of HIV-1 transcript in the absence of Tat
POLR2J,Tat-mediated HIV elongation arrest and recovery
POLR2J,Tat-mediated elongation of the HIV-1 transcript
POLR2J,HIV elongation arrest and recovery
POLR2J,Pausing and recovery of HIV elongation
POLR2J,Viral Messenger RNA Synthesis
POLR2J,FGFR2 mutant receptor activation
POLR2J,Signaling by FGFR
POLR2J,Signaling by FGFR2
POLR2J,Signaling by FGFR2 in disease
POLR2J,FGFR2 alternative splicing
POLR2J,Signaling by FGFR2 IIIa TM
POLR2J,Estrogen-dependent gene expression
POLR2K,Signaling by FGFR in disease
POLR2K,Formation of HIV elongation complex in the absence of HIV Tat
POLR2K,Formation of the HIV-1 Early Elongation Complex
POLR2K,RNA Pol II CTD phosphorylation and interaction with CE during HIV infection
POLR2K,HIV Transcription Initiation
POLR2K,RNA Polymerase II HIV Promoter Escape
POLR2K,HIV Transcription Elongation
POLR2K,Transcription of the HIV genome
POLR2K,Formation of HIV-1 elongation complex containing HIV-1 Tat
POLR2K,Pausing and recovery of Tat-mediated HIV elongation
POLR2K,Abortive elongation of HIV-1 transcript in the absence of Tat
POLR2K,Tat-mediated HIV elongation arrest and recovery
POLR2K,Tat-mediated elongation of the HIV-1 transcript
POLR2K,HIV elongation arrest and recovery
POLR2K,Pausing and recovery of HIV elongation
POLR2K,Viral Messenger RNA Synthesis
POLR2K,FGFR2 mutant receptor activation
POLR2K,Signaling by FGFR
POLR2K,Signaling by FGFR2
POLR2K,Signaling by FGFR2 in disease
POLR2K,FGFR2 alternative splicing
POLR2K,Signaling by FGFR2 IIIa TM
POLR2K,Estrogen-dependent gene expression
POLR2L,Signaling by FGFR in disease
POLR2L,Formation of HIV elongation complex in the absence of HIV Tat
POLR2L,Formation of the HIV-1 Early Elongation Complex
POLR2L,RNA Pol II CTD phosphorylation and interaction with CE during HIV infection
POLR2L,HIV Transcription Initiation
POLR2L,RNA Polymerase II HIV Promoter Escape
POLR2L,HIV Transcription Elongation
POLR2L,Transcription of the HIV genome
POLR2L,Formation of HIV-1 elongation complex containing HIV-1 Tat
POLR2L,Pausing and recovery of Tat-mediated HIV elongation
POLR2L,Abortive elongation of HIV-1 transcript in the absence of Tat
POLR2L,Tat-mediated HIV elongation arrest and recovery
POLR2L,Tat-mediated elongation of the HIV-1 transcript
POLR2L,HIV elongation arrest and recovery
POLR2L,Pausing and recovery of HIV elongation
POLR2L,Viral Messenger RNA Synthesis
POLR2L,FGFR2 mutant receptor activation
POLR2L,Signaling by FGFR
POLR2L,Signaling by FGFR2
POLR2L,Signaling by FGFR2 in disease
POLR2L,FGFR2 alternative splicing
POLR2L,Signaling by FGFR2 IIIa TM
POLR2L,Estrogen-dependent gene expression
TAS2R5,Class C/3 (Metabotropic glutamate/pheromone receptors)
GFOD1,RHOQ GTPase cycle
ANLN,RHOA GTPase cycle
ANLN,RHOB GTPase cycle
ANLN,RHOC GTPase cycle
TAF7L,HIV Transcription Initiation
TAF7L,RNA Polymerase II HIV Promoter Escape
TAF7L,Transcription of the HIV genome
NEURL1B,Signaling by NOTCH1
NEURL1B,Signaling by NOTCH2
NEURL1B,Activated NOTCH1 Transmits Signal to the Nucleus
NEURL1B,Signaling by NOTCH1 PEST Domain Mutants in Cancer
NEURL1B,Signaling by NOTCH1 in Cancer
NEURL1B,Constitutive Signaling by NOTCH1 PEST Domain Mutants
NEURL1B,Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer
NEURL1B,Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants
NEURL1B,NOTCH2 Activation and Transmission of Signal to the Nucleus
NEURL1B,Signaling by NOTCH3
NEURL1B,NOTCH3 Activation and Transmission of Signal to the Nucleus
ATR,Diseases of DNA repair
ATR,Diseases of DNA Double-Strand Break Repair
ATR,Defective homologous recombination repair (HRR) due to BRCA2 loss of function
ATR,Impaired BRCA2 binding to RAD51
RHOF,RHOF GTPase cycle
POU2F1,Estrogen-dependent gene expression
DDX4,RND3 GTPase cycle
APBB1IP,Integrin signaling
APBB1IP,p130Cas linkage to MAPK signaling for integrins
APBB1IP,MAP2K and MAPK activation
APBB1IP,Signaling by moderate kinase activity BRAF mutants
APBB1IP,Signaling by high-kinase activity BRAF mutants
APBB1IP,Signaling by RAS mutants
APBB1IP,Signaling by BRAF and RAF1 fusions
APBB1IP,Paradoxical activation of RAF signaling by kinase inactive BRAF
APBB1IP,Oncogenic MAPK signaling
APBB1IP,Signaling downstream of RAS mutants
APBB1IP,Signaling by RAF1 mutants
DLL4,Signaling by NOTCH1
DLL4,Signaling by NOTCH2
DLL4,Activated NOTCH1 Transmits Signal to the Nucleus
DLL4,Signaling by NOTCH1 PEST Domain Mutants in Cancer
DLL4,Signaling by NOTCH1 in Cancer
DLL4,Constitutive Signaling by NOTCH1 PEST Domain Mutants
DLL4,Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer
DLL4,Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants
DLL4,NOTCH2 Activation and Transmission of Signal to the Nucleus
DLL4,Signaling by NOTCH3
DLL4,NOTCH3 Activation and Transmission of Signal to the Nucleus
DLL4,Signaling by NOTCH4
ATRX,Diseases of mitotic cell cycle
PARP14,Maturation of nucleoprotein
PARP14,Translation of Structural Proteins
PARP14,Late SARS-CoV-2 Infection Events
UGT1A3,NR1H2 and NR1H3-mediated signaling
PPARD,Signaling by Retinoic Acid
